Video_ID,Komentar,Jumlah_Suka,Judul_Video,Channel,Tanggal_Rilis,Panjang_Komentar,Jumlah_Kata,Kategori_Likes,Tanggal,Komentar_Bersih,Sentimen
Kjq6YuxPWuw,"Tolong dihapus videonya, ini pelanggaran Hak Cipta. Karena pihak Watchdoc belum keluarkan film ini akun resminya 🙏🏽",7,Pesta babi (Official trailer full movie),Gilberth official ,2026-05-17 18:37:03+00:00,115,17,medium,2026-05-17,dihapus videonya pelanggaran hak cipta watchdoc keluarkan film akun resminya,netral
Kjq6YuxPWuw,Begitu kejam nya pemerintah terhadap rakyatnya sendiri.😢😢😢,1,Pesta babi (Official trailer full movie),Gilberth official ,2026-05-17 18:37:03+00:00,58,7,low,2026-05-17,kejam pemerintah rakyatnya,netral
Kjq6YuxPWuw,Mengerikan.....😢😢😢,4,Pesta babi (Official trailer full movie),Gilberth official ,2026-05-17 18:37:03+00:00,18,1,low,2026-05-17,mengerikan,netral
PjeNsvCSmTY,Film Keren Abad ini,0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,19,4,none,2026-05-18,film keren abad,netral
PjeNsvCSmTY,bener bener gila mereka,0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,23,4,none,2026-05-18,bener bener gila,netral
PjeNsvCSmTY,"Kurang pas kalau dibilang kolonialisme, lebih pas eksploitasi karena merupakan bagian dari negara itu sendiri. Kalo sampe dibilang kolonialisme ini udah keliatan propaganda OPM dan Australianya.",0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,194,26,none,2026-05-18,pas dibilang kolonialisme pas eksploitasi negara kalo sampe dibilang kolonialisme keliatan propaganda opm australianya,netral
PjeNsvCSmTY,"Miris lihatnya, yg mnjd sumber masalah adalah pemerintahnya sendiri, bnr-bnr makin jengkel lihatnya",0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,99,13,none,2026-05-18,miris lihatnya mnjd sumber pemerintahnya bnr bnr jengkel lihatnya,negatif
PjeNsvCSmTY,Pencurian hak cipta. Sy report ya,0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,33,6,none,2026-05-18,pencurian hak cipta report,netral
PjeNsvCSmTY,Pinter banget yang milih si gendut joget joget,1,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,46,8,low,2026-05-18,pinter milih gendut joget joget,netral
PjeNsvCSmTY,Wee paling bodok kapa.. Watchdog saja belum rilis baru udik nihhh...,0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,68,11,none,2026-05-18,wee bodok kapa watchdog rilis udik nihhh,netral
PjeNsvCSmTY,"Tau diri boleh, minimal tunggu yang punya film upload baru ko mau upload juga silahkan

Tra tau diri sekali, orang ada susah bikin film malah ko upload seenaknya
Terlalu kurang ajar sih",0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,185,32,none,2026-05-18,tau minimal tunggu film upload upload silahkan tra tau orang susah bikin film upload ajar,negatif
PjeNsvCSmTY,China,0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,5,1,none,2026-05-18,china,netral
PjeNsvCSmTY,Harusnya film ini didaftarkan Ke festival film interna sional,0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,61,9,none,2026-05-18,film didaftarkan festival film interna sional,netral
PjeNsvCSmTY,"Duh sedih saya lihatnya.....
Dmn hati nurani pemerintah...

Alam dirusak....rakyat di usir...

Seharusnya yg jadi presiden itu KDM yang cinta akan alam dan mengerti dan memahami kondisi dan keinginan masyarakat.....

Semoga Pemerintah dan pengusaha yang gak Amanah dan gak bermoral dikasih adzab yg berat...seperti penyakit yang parah gak bisa sembuh dan susah meninggalnya....agar menderita selama hidupnya......Amin.",0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,418,56,none,2026-05-18,duh sedih lihatnya dmn hati nurani pemerintah alam dirusak rakyat usir presiden kdm cinta alam mengerti memahami kondisi masyarakat semoga pemerintah pengusaha amanah bermoral dikasih adzab berat penyakit parah sembuh susah meninggalnya menderita hidupnya amin,negatif
PjeNsvCSmTY,Berani ga komdigi take down postingan ini??? we'll see,0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,54,9,none,2026-05-18,berani komdigi take down postingan see,positif
PjeNsvCSmTY,ternyata pemerintah lah penjajah rakyat sebenarnya,0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,50,6,none,2026-05-18,pemerintah penjajah rakyat,netral
PjeNsvCSmTY,ketika kita membeli gula maka haji Isam semakin punya kuasa,0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,59,10,none,2026-05-18,membeli gula haji isam kuasa,netral
PjeNsvCSmTY,"Lawan  👍👍👍,,,,  jangan percaya dengan pemerintah serakah dan koruptor 👍",0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,71,10,none,2026-05-18,lawan percaya pemerintah serakah koruptor,positif
PjeNsvCSmTY,kunci melawan adalah BOIKOT,0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,27,4,none,2026-05-18,kunci melawan boikot,netral
PjeNsvCSmTY,negara dikuasai naga maka naga dengan sifat angkara murka akan menghanguskan yang ada,0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,85,13,none,2026-05-18,negara dikuasai naga naga sifat angkara murka menghanguskan,netral
PjeNsvCSmTY,"Tidak sanggup nonton, perasaan jd campur aduk sedih dan marah",0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,61,10,none,2026-05-18,sanggup nonton perasaan campur aduk sedih marah,negatif
PjeNsvCSmTY,"Yg upload² di YouTube ini sdh ijin sama pembuat film kah ? 
Kamu kira gampang buat film ?",0,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18 08:54:18+00:00,89,18,none,2026-05-18,upload youtube sdh ijin pembuat film gampang film,netral
