Video_ID,Judul_Video,Channel,Tanggal_Rilis
Kjq6YuxPWuw,Pesta babi (Official trailer full movie),Gilberth official ,2026-05-17T18:37:03Z
PjeNsvCSmTY,PESTA BABI  Full Movie (Dokumenter) Bebas Iklan,Melanesia Movies ,2026-05-18T08:54:18Z
lslu0_8OynQ,Represi dalam Pemutaran Film Pesta Babi | Bocor Alus Politik,Tempodotco,2026-05-16T04:00:06Z
t11UIa-r7UY,Pesta Babi (Official Music Video) 📢🎶,rumahcase music,2026-05-15T05:00:43Z
0Buv-MC-rSA,PESTA BABI (Official Trailer),Indonesia Baru,2026-03-13T09:08:53Z
aNrqkNSfmOg,Aparat Panik! Ada Apa di Balik Dokumenter &#39;Pesta Babi&#39; Papua?,Daftar Populer,2026-05-17T07:23:46Z
qn-h0k7_z2I,Apa itu film Pesta Babi? #dokumenter #papua,Plusinpus,2026-05-16T06:27:20Z
x3HOLb4pm8U,"PESTA BABI MENGERIKAN? SAAT BEBERAPA OKNUM TNI DENGAN MUDAHNYA MENYERANG WARGA SIPIL, SALAH SIAPA?",GEMBULIKUM,2026-05-14T10:30:37Z
Gcu5riDxR8o,Pemerintah Bantah Kerahkan Aparat Bubarkan Film Pesta Babi Meski Dianggap Provokatif,Warta Kota Production,2026-05-15T02:46:11Z
FUBTxys1GxY,"Heboh Juri Cerdas Cermat Dan Pemerintah Bantah Larang NoBar Film Pesta Babi, Ulasan sepekan",KOMPASTV MAKASSAR,2026-05-17T15:13:13Z
Pqfz2vu2PA8,"Kontroversi Nobar Film Pesta Babi, Kebijakan Pemerintah dan Tindakan Aparat Dipertanyakan!",KOMPASTV JAWA TIMUR,2026-05-16T08:15:01Z
5h7o-palDLU,"PESTA BABI, FILM YANG HARUS DITONTON SEKALI SEUMUR HIDUP",Nas Creativy,2026-05-16T12:00:13Z
ZMwJuFzqJHQ,Buka Suara! Yusril Tegaskan Pemerintah Tak Pernah Larang Nobar Film Pesta Babi,KOMPASTV JAWA TIMUR,2026-05-16T01:30:22Z
KQIN_TT88kg,"GEGERR💥FILM “PESTA BABI” LAGI RAMAI, ADA PERAN GEORGE SOROS ⁉️",YudaMedia HD,2026-05-15T05:15:00Z
mnAwANx7_94,Viral Detik-Detik Nobar Film Pesta Babi di Ternate Dibubarkan,KOMPASTV JAWA TIMUR,2026-05-16T01:15:03Z
drGW59GBHWo,Film &quot;Pesta Babi&quot; Haram???,GOCEK,2026-05-17T09:03:35Z
ypmRIX90BnY,"Larangan Nobar Film Pesta Babi, Dandhy Laksono: “Pelarangan Justru Bikin Orang Makin Penasaran”",Tribunnews,2026-05-16T10:15:06Z
oXiNw2ZWg0U,PESTA BABI,Pari Kesit,2026-05-12T09:00:07Z
jnFHGOz8ry4,Yusril Tegaskan Pemerintah Tak Pernah Larang Nobar Film Pesta Babi,KOMPASTV JAWA TENGAH,2026-05-16T03:45:12Z
M3RlEC45G6E,Kronologi Nobar Film Pesta Babi di Sumbawa Barat Dibubarkan Aparat,KOMPASTV MANADO,2026-05-16T09:31:46Z
COc0yNulee8,Nobar film pesta babi malah dibubarin..!,Nafa Tech,2026-05-13T10:50:39Z
SlA-terJkaI,Terbongkar Pendana Film Pesta Babi 🙀,Kucing Mujair,2026-05-14T12:16:33Z
cVXZlkIQyQY,FILM PESTA BABI ‼️ NOBAR FILM PESTA BABI DIBUBARKAN,pegon,2026-05-13T10:30:31Z
zqHTojBN7a4,Kapendam XVII Cendrawasih Respons Nobar &quot;Pesta Babi&quot;,KOMPASTV PALEMBANG,2026-05-16T10:35:14Z
29vRnP0DfGg,FILM PESTA BABI #film #podcast #coachjustin #boyfootball,Boy Football,2026-05-18T07:02:52Z
