Video_ID,Komentar,Jumlah_Suka
Kjq6YuxPWuw,"Tolong dihapus videonya, ini pelanggaran Hak Cipta. Karena pihak Watchdoc belum keluarkan film ini akun resminya 🙏🏽",7
Kjq6YuxPWuw,😢😢😢,1
Kjq6YuxPWuw,Begitu kejam nya pemerintah terhadap rakyatnya sendiri.😢😢😢,1
Kjq6YuxPWuw,Mengerikan.....😢😢😢,4
PjeNsvCSmTY,Film Keren Abad ini,0
PjeNsvCSmTY,bener bener gila mereka,0
PjeNsvCSmTY,"Kurang pas kalau dibilang kolonialisme, lebih pas eksploitasi karena merupakan bagian dari negara itu sendiri. Kalo sampe dibilang kolonialisme ini udah keliatan propaganda OPM dan Australianya.",0
PjeNsvCSmTY,"Miris lihatnya, yg mnjd sumber masalah adalah pemerintahnya sendiri, bnr-bnr makin jengkel lihatnya",0
PjeNsvCSmTY,Pencurian hak cipta. Sy report ya,0
PjeNsvCSmTY,Pinter banget yang milih si gendut joget joget,1
PjeNsvCSmTY,Wee paling bodok kapa.. Watchdog saja belum rilis baru udik nihhh...,0
PjeNsvCSmTY,"Tau diri boleh, minimal tunggu yang punya film upload baru ko mau upload juga silahkan

Tra tau diri sekali, orang ada susah bikin film malah ko upload seenaknya
Terlalu kurang ajar sih",0
PjeNsvCSmTY,China,0
PjeNsvCSmTY,Harusnya film ini didaftarkan Ke festival film interna sional,0
PjeNsvCSmTY,"Duh sedih saya lihatnya.....
Dmn hati nurani pemerintah...

Alam dirusak....rakyat di usir...

Seharusnya yg jadi presiden itu KDM yang cinta akan alam dan mengerti dan memahami kondisi dan keinginan masyarakat.....

Semoga Pemerintah dan pengusaha yang gak Amanah dan gak bermoral dikasih adzab yg berat...seperti penyakit yang parah gak bisa sembuh dan susah meninggalnya....agar menderita selama hidupnya......Amin.",0
PjeNsvCSmTY,Berani ga komdigi take down postingan ini??? we'll see,0
PjeNsvCSmTY,ternyata pemerintah lah penjajah rakyat sebenarnya,0
PjeNsvCSmTY,ketika kita membeli gula maka haji Isam semakin punya kuasa,0
PjeNsvCSmTY,"Lawan  👍👍👍,,,,  jangan percaya dengan pemerintah serakah dan koruptor 👍",0
PjeNsvCSmTY,kunci melawan adalah BOIKOT,0
PjeNsvCSmTY,negara dikuasai naga maka naga dengan sifat angkara murka akan menghanguskan yang ada,0
PjeNsvCSmTY,"Tidak sanggup nonton, perasaan jd campur aduk sedih dan marah",0
PjeNsvCSmTY,"Yg upload² di YouTube ini sdh ijin sama pembuat film kah ? 
Kamu kira gampang buat film ?",0
PjeNsvCSmTY,ga kebayang diakhirat yang milih orang joget2 jadi presiden!!,3
PjeNsvCSmTY,Thank you ka,0
PjeNsvCSmTY,mengerikan......hampir setengah abad harta dalam tanah papua digerus...dan skarang harta di atas papua pun dijarah...semua atas nama masyarakat indonesia...akan tetapi apa timbal balik untuk masyarkat papua....?????????? berapa banyak keluarga oligarki bertambah kaya dari proyek2 ini...????? mengerikan.,0
PjeNsvCSmTY,Mohon film ini diterjemahkan dalam pelbagai bahasa dan dikirim ke PBB atau utusan PBB di New York.,4
PjeNsvCSmTY,Militer dipakai Preman,0
PjeNsvCSmTY,Prabowo takut Preman,1
PjeNsvCSmTY,"matahari bisa jadi energi, angin bisa jadi energi, air bisa jadi energi, pasang surut bisa jadi energi. Dunia menuju energi hijau malah Indonesia baru menggunakan energi fosil. mundur ke jaman batu",0
PjeNsvCSmTY,isam perusak hutan,0
PjeNsvCSmTY,Hancurkan Isam dan antek2nya .,2
PjeNsvCSmTY,jossversihd,0
PjeNsvCSmTY,Papua bukan tanah kosong.💪🏾,1
lslu0_8OynQ,"Jika anda ingin melihat daerah miskin di Indonesia yang penduduknya masih terkena penyakit Malaria, kaki Gajah dan TBC, Kudisan, coba pergi ke papua selatan pedalaman, suku Awuy di sungai Mapi, suku Mandobo di sungai Digoel dan suku Muyu di mindiptana dan waropko atau kombut. Saya pernah kesana",0
lslu0_8OynQ,Jokowi pernah di hukum oleh PTUN karena pemblokiran internet di papua,0
lslu0_8OynQ,"Gak tahu mau komen apa
Up aja dech",0
lslu0_8OynQ,"Bang penelusuran tempo ke food estate gak di lanjutkah?
Cak gung cak gung..
Saya nungguin kelanjutan nya",0
lslu0_8OynQ,Mirisssss,1
lslu0_8OynQ,"Sangat bagus, saya sangat mendukung",0
lslu0_8OynQ,"Aneh"" aja film judulnya sdh tahu lndo mayoritas lslam judul film",0
lslu0_8OynQ,Semangat Mas Dandhy  Dwi Laksono 🔥🙏🔥🙏♿🇮🇩,0
lslu0_8OynQ,"Ini tolong pesta babi di up di netflix, biar seluruh orang didunia tau",0
lslu0_8OynQ,"SEJATINYA NEGARA INI RUSAK DIKARENAKAN PRAKTEK KORUPSI - KOLUSI - NEPOTISME YANG SUDAH MEMBUDIDAYA DIANTARA SOSIAL KELAS BAWAH SAMPAI KELAS ATAS.

NAJIS BANGET SUMPAH LIAT NEGARA INI, SISTEM PEMERINTAHAN NYA JUGA TIDAK ADA NIATAN PERBAIKAN SAMA SEKALI. 🤧🤮",0
lslu0_8OynQ,"11:49 aku yg belum nonton aja tau kemana arah nya ini judul pesta babi, pejabat yg ""supposed to be"" orang terbaik sebagai pemimpin malah gak paham hal sejelas ini",0
lslu0_8OynQ,Tudingan di berikan dana oleh asing? Lah pejabat? presiden? bukannya udah deket banget tuh sama asing,0
lslu0_8OynQ,Biarin saja kemarin ok gas ok gas habis beras makan gas,0
lslu0_8OynQ,Film konyol. dana trilyunan yg dibagi dari pusat dan dari freeport dikorupsi oleh pejabat2 papua sendiri. Fakta. KKB membunuh sodara2 mereka sesama papua. Itu yg seharusnya difilmkan,0
lslu0_8OynQ,Mental Bang Dandhy ini keren bgt 😌 ga gentar head to head sama Haji Is4m,0
