id,username,komentar,country,rate,waktu
828855b6-3b67-4c0a-bc0a-c588d9da0783,Erik . .,folk,ID,5,2026-05-30 02:52:06
15002568-e2b3-40d3-9668-772fd9f6e1d7,Wira Ardiansyah,mantap lah pokoknya,ID,5,2026-05-30 01:20:14
d1813ffb-c2f6-4bf7-8fac-c424fd2b0e8a,Alvino,membantu mengasah otak,ID,5,2026-05-29 19:47:37
0f278580-161b-44e2-9baa-5c3395f62284,Pian ?,"jangan asal banned akun orang, cek perangkat tersebut menggunakan apk tambahan atau tidak, gw sama sekali ga pake engine loh, iya gw akui gw menang lebih dari 5x berturut turut, tapi kan gw menang nya bertahap, gw usahain hari ini menang dan besok main lagi menang, udah gitu",ID,3,2026-05-29 18:31:06
a15a4afa-25d0-4fb2-a15f-bfb6893fa67e,water,Do you miss us? No.,ID,5,2026-05-29 12:37:17
26f7e5be-be8b-474b-a6db-e671a7511d34,Rabiul Lukien,nice,ID,5,2026-05-29 05:31:35
38b42da6-5bb3-47ca-b109-08366140c163,Ahmad Salam,"Aplikasi catur paling bagus menurut saya. Anda bisa belajar disini, tapi minusnya harus bisa bahasa inggris. Admin kami mohon untuk teks pembelajarannya menggunakan bahasa Indonesia juga ya, kami sangat mohon untuk ada teks bahasa Indonesia di bagian pembelajaran 🙏🙏🙏",ID,5,2026-05-29 05:11:08
e952eeaa-435a-4439-afba-84a77f90092e,Riyoo nishh,gokilll,ID,5,2026-05-29 01:23:11
c5b80294-34c8-410d-98f2-c62037bd4640,Ghani Azka,game penambah iq,ID,5,2026-05-28 23:35:17
8f58b2da-7e4f-4ddc-8204-781b72f46e84,Ria Anggraeni,good,ID,4,2026-05-28 22:31:47
b8d96d27-675c-4238-bb1c-691e065cb311,muh tahir,"Please make a sound like eating biscuits if we capture, it will be funny",ID,5,2026-05-28 21:38:01
045b1974-b641-4324-b038-cff52d612a51,Winaya Winaya,please add new board and the pawn size on mobile is too small,ID,1,2026-05-28 19:42:16
7392826c-2343-46a8-9178-7b34008165a7,Satria Mahendra,Its good game,ID,5,2026-05-28 19:13:56
569db48a-64fa-442c-b718-1f134c5bb549,Damian,tolong dong kasih ganti nama akun kalo gak bisa minimal bisa hapus akun lah susah gak bisa ganti nama gara gara salah tulis,ID,5,2026-05-28 18:58:46
2d304b38-48d8-4056-b3bb-9c392af68800,rachmad junaedi,"Kenapa timernya sering error ya? tiba tiba waktunya habis, kadang waktunya turun lebih cepat, padahal jaringan stabil. lebih sering kalah akibat kehabisan waktu daripada kalah taktik",ID,1,2026-05-28 18:12:32
5f387af6-6d81-4fbf-a639-90bb59ec0e8b,Syarif Sidi,selalu layar hitam kalau live TikTok,ID,1,2026-05-28 16:02:41
be49ebab-4de0-471f-aafe-6444e9f6d70d,Ilhamgooding,good for brain,ID,5,2026-05-28 15:51:57
4478bc0d-ac59-44dc-906d-97cd63fdc8db,Muhammad Rezky,good,ID,5,2026-05-28 15:48:32
cca7b238-ccc5-428d-9d8b-358f108a913c,Muawanah Muawanah,membuat gw lebih berotak senku😅,ID,5,2026-05-28 13:53:34
480b9342-d1b0-4bb4-b70f-f314a98840eb,Philihp Nababan,sangat bagus untuk di mainkan,ID,5,2026-05-28 10:53:16
75487a56-f706-44da-9df9-37f431454df3,E.HAALAND HALAND,tolong adalah multiplayer tapi offline pasti seru bisa main sama teman tolong di adakan pliss,ID,5,2026-05-28 09:29:59
450eb2f4-0887-4d69-8383-7c1b98f55f58,Rijal Rijal,bagus banget bisa buat kita jadi lebih teliti dalam memperhatikan langkah,ID,5,2026-05-28 07:58:40
2d5d1668-4f3c-4a34-8520-a6d65ced0f66,Reza Septaria,besttt,ID,5,2026-05-28 07:27:39
1e1245b5-a072-41ef-a63f-95891cb96797,Brando Watulangkow,good,ID,5,2026-05-27 22:11:36
7f9d1850-c150-4a80-ab08-6ec7ec6e8d88,Akbar Andhika,kerenn,ID,5,2026-05-27 22:03:26
ebde7164-b77f-462d-b06f-6194447f4c17,rayyan yusuf,sangat mengasah otak tapi sedikit kikir,ID,4,2026-05-27 21:57:36
42355cd1-56d7-4a63-875d-9b39118b0290,daeng ngabehi,good,ID,5,2026-05-27 19:25:47
e55c750d-4b01-41ae-9ddd-aab16a25efe0,Madrid 12 5,game sampah,ID,1,2026-05-27 17:56:39
58a0c911-71b4-4cee-89ce-ea0a578de2aa,Gunawan Djie,"Gak ada pelajaran dengan berbagai macam opening catur(kalau ada pun masih terbatas). Yang gratis juga tanpa bayar biar kami bisa jadi pecatur yang hebat. Dan satu lagi, boleh gak tambahkan fitur chess clock(jam catur) biar pas tanding tatap muka gak usah pakai jam catur beneran, tinggal buka chess com habis itu pencet chess clock, selesai",ID,3,2026-05-27 17:38:43
07a51d83-eb1d-4c27-b1fd-92591e7f30ff,Sagitarius,ok,ID,5,2026-05-27 17:29:38
3991b1d9-808d-4730-a1df-32b3b3c11199,Cecep Saepudin,padahal udah top up masa 6x menang terus langsung di band kecewa banget..,ID,1,2026-05-27 15:38:07
04175638-a1d2-47fa-bb1f-7ca34955de4f,Agaetha Esonil,"Dengan penuh kekesalan dan rasa lelah karena telah dituduh berbuat curang.. Akun saya ditutup karena alasan bermain curang, tanpa bukti apapun. Hanya di ""yakini"", tetapi ketika di aju banding malah justru memperkeruh keadaan.. Mereka pihak resmi bilang bahwa itu mutlak banned sampai 2027 baru dibuka.. Padahal tidak ada indikasi apapun saya berbuat curang, bahkan kebijakan bermain fair play saya patuhi. sudah 2 kali di akun ini penutupan sepihak rasanya bermain seperti membuang waktu jika begini",ID,1,2026-05-27 15:31:20
0a5da074-4a6c-4092-8784-5913d848cd9b,Akhing Batam,"GAME BURIK, YABG BUAT MATI AJA!",ID,1,2026-05-27 15:20:51
8383ea59-e747-469e-ae68-480158b5a592,Yan Eka,saya benci game ini karena teman saya,ID,1,2026-05-27 14:17:26
4a4978d0-83cd-4949-a37b-a62228ecb18f,Muhammad Raffi,gamenya kikir apa apa bayar,ID,1,2026-05-27 11:00:49
d7560540-c7b3-44fe-996c-38cdea3a038c,Danish Maryo,keren aku belajar banyak 👍,ID,4,2026-05-27 10:59:20
f8207968-89ce-4aa0-ab2d-06b569c108e3,Manirancan Rancakasumba,mantaaap...,ID,5,2026-05-27 10:43:16
b23a08fa-6e6f-401f-a640-274d6c2315ff,Fitria Pello,"Permainannya bagus sekali. semuanya lengkap. Tetapi, kekurangannya kalau mau lihat ulasan permainan atau ingin belajar harus bayar. sayang sekali padahal gamenya bagus. Tolong di buat gratis saja ya🙏.",ID,5,2026-05-27 07:58:43
a03ee6bb-fcde-4cf2-b81c-7cfcee0b6d63,Mis Osjks,game gk jelas hampir tiap kali main selalu kalah waktu tiba2 padahal sudah melangkah tiba2 waktunya mau habis,ID,1,2026-05-27 02:58:32
fc067701-5309-4d55-afd5-5886a46dcb14,Hasrul Hasis,menjadi pelatih otak tetap cerdas,ID,5,2026-05-26 23:04:57
b1473e72-0c65-413e-bcb9-38ad678261c8,Imran,game dengan pengalaman buruk,ID,1,2026-05-26 23:04:27
1f806bfd-ed0d-40d3-81f0-c3f5c516f7c7,Riski Dobo,nice,ID,5,2026-05-26 21:10:01
a93a50e7-4eca-4b05-b4b4-029ab06ea8f8,Ni'am Yukafi Mazid,"game nya banyak bug, ga rekomen, tidak memuaskan,",ID,1,2026-05-26 16:29:44
72d57e30-4f20-4100-bbe1-70e0fa0a312b,Valianto Dharma saputra,keren,ID,4,2026-05-26 15:32:09
643bb949-d37c-4cd9-bf6f-bce984a49a8a,Fathuddin MRN,Aplikasi sangat bagus,ID,5,2026-05-26 12:58:41
0a26a2ac-8d3e-4607-b18e-cd35f6da033a,mikhail Talk,JARINGANYA ILANG² DAN MASI BANYAK ORANG PAKE MESIN CATUR PAYAH,ID,3,2026-05-26 11:44:56
1e8b151a-dd80-40d7-9dcc-3986d696cbb8,Alvaro Abraham,bagus,ID,5,2026-05-26 08:50:36
c9470c8f-1b01-4332-be25-02f97f1b116c,Assyifa Nurhafidzah,"saya minta untuk dimudahkan di ratting 700 kok susah amat mau 1000 di rapid mudahkan dong?, malas jadi mainnya kalah mulu",ID,1,2026-05-26 07:52:21
479ecb0a-c993-4254-bed3-59c0046761d3,Reynard Au,"ok so my internet is so bad making me get abandon on winning possition...... and u make me lose -9 elo just for getting a winning possition?????????? give my elo back, this is to weird, nonsense. Bro waiting????????? 1 min game?????? ur kinda right but mine idea is better because it called cheating, due to that, i cant see the fun, what if IM 2800??????? -reynardau",ID,1,2026-05-26 06:40:19
a1e70102-4254-4800-922f-092b2e4962cf,Rendet Agustian,nice game,ID,5,2026-05-26 03:35:13
6b721b9f-c37e-498b-b36f-c854ab10509a,Abdul Aziz,bagus tapi aku gak bis main,ID,4,2026-05-26 00:39:52
3e3c9127-70ce-4a0f-ab21-76159c045aab,Renaldo Aldo,menurut saya game ini sangat bagus tapi tolong klo misalnya gua baru menang 2 kali jangan lu kasih los 5-10 kali bisa gila gua,ID,4,2026-05-25 22:57:59
8febb4ce-a94f-463d-adcc-d7d37702efb2,Bagus Sinbadx,pusing pala gw,ID,5,2026-05-25 22:03:57
8120b0ed-b39d-4804-b27e-7373c5a2531d,Adi Supriadi,banyak curangny dalam game harus komitmen lah masa belum berapa detik udh dapat poin dalam turnamen harus jujur,ID,1,2026-05-25 21:30:41
8f1f7326-3e2b-4971-b365-2cf882fc23ca,Fathan GG EMYU,good,ID,4,2026-05-25 21:13:26
abd3df8f-46d8-4c97-904d-8198405002d3,Harbian Audric,caturnya gerak2 sendiri aneh,ID,1,2026-05-25 20:01:18
c13a0978-6c85-4473-8be4-805519039201,Dejan Mamoto,updatenya .. trlalu lambat langkahnya dibandingkan website,ID,3,2026-05-25 19:48:43
856104ec-a3b0-448c-bb1f-b63f855ed402,Akbar Fedly Pratama,aplikasi nya bagus !,ID,5,2026-05-25 18:19:50
721b1286-ec09-40b6-8550-5d8e3de1e6cd,Andi Lamario,seru banget game nya min!,ID,5,2026-05-25 18:11:20
75e4de94-be10-45e1-91da-372c899fa5f5,Ryze O'Neil,good,ID,5,2026-05-25 12:32:15
0969671e-89f7-4f91-b211-4fe54ae80eee,Adam Marcellino Evan,Alhamdulillah,ID,5,2026-05-25 10:26:28
a24c658b-5d88-44ba-86c4-cac29cdb1472,rajib rahman,permainan yang mengasah otak,ID,5,2026-05-25 04:55:33
32f1f32f-dc6d-4cd9-ae95-955823ecb179,Mandala Sukma Negara,this game is racist cause I always lost when I played black pieces,ID,1,2026-05-24 23:50:55
c5082c2e-04bb-47c9-8f59-7631e36c4636,Sembalun,"bagus,permainan nya mulus,saya sampai suka :/",ID,5,2026-05-24 22:23:42
2461d6a7-65fe-4ea3-be8f-1717702815e2,Mizo•,gak adil,ID,1,2026-05-24 22:13:20
424b579c-b995-45af-8afe-7069c70efaf3,Akun ml,bagus,ID,5,2026-05-24 21:24:17
a832f829-0653-4e59-8af3-8ff0a7c52056,Satria Aprillio,"apasih dikit dikit ban, padahal ga pake engine skill murni hasil mikir, tolonglah udah cape cape pus elo rating malah dibanned",ID,1,2026-05-24 20:31:03
01d4ac06-0495-49d7-b9cc-6314b3f0c703,Mamah Dadan,👍👍👍,ID,5,2026-05-24 19:12:28
6517409c-9c5b-447e-806c-68ea60121bf4,M Keenan Arkhananta Hermawan,seru,ID,4,2026-05-24 18:52:28
ccba6ba3-3c5d-4be9-9743-550ed5e8464b,ARSEN TV,sangat bagus dan mengasah otak untuk bermain catur,ID,5,2026-05-24 15:55:47
124e52ca-dec4-4512-b627-151fdaad3f60,Laode Indara,aplikasi anjay akun lamaku sejak 2023 lantaran saya menang berturut turut 3 langsung di blokir.jgn lgi main pake aplikasi ini.aplikasi ini buat kita kecewa saja,ID,1,2026-05-24 15:12:18
c8d4a3c6-40d1-4671-8e2e-aeae174f0e93,Firman dwiaulia,"This game is fun and exciting👍, it can train our brain and focus, I have been playing this application for a long time🎉, and it is indeed recommended to play!, thank you for creating this game🔥",ID,5,2026-05-24 14:12:20
